"PSPath","PSParentPath","PSChildName","PSDrive","PSProvider","PSIsContainer","Mode","BaseName","Target","LinkType","Name","FullName","Parent","Exists","Root","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","Attributes"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\AKS","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","AKS","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","AKS","System.Collections.Generic.List`1[System.String]",,"AKS","C:\PROJECTS\Backup_H2\AKS","Backup_H2","True","C:\","","6/1/2023 4:10:46 PM","6/1/2023 6:10:46 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","11/27/2022 5:33:40 PM","11/27/2022 6:33:40 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\AZL","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","AZL","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","AZL","System.Collections.Generic.List`1[System.String]",,"AZL","C:\PROJECTS\Backup_H2\AZL","Backup_H2","True","C:\","","6/1/2023 4:10:46 PM","6/1/2023 6:10:46 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\BAV","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","BAV","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","BAV","System.Collections.Generic.List`1[System.String]",,"BAV","C:\PROJECTS\Backup_H2\BAV","Backup_H2","True","C:\","","6/1/2023 4:10:47 PM","6/1/2023 6:10:47 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\FGO","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","FGO","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","FGO","System.Collections.Generic.List`1[System.String]",,"FGO","C:\PROJECTS\Backup_H2\FGO","Backup_H2","True","C:\","","6/1/2023 4:10:47 PM","6/1/2023 6:10:47 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\GBF","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","GBF","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","GBF","System.Collections.Generic.List`1[System.String]",,"GBF","C:\PROJECTS\Backup_H2\GBF","Backup_H2","True","C:\","","6/1/2023 4:10:47 PM","6/1/2023 6:10:47 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","6/1/2023 4:11:12 PM","6/1/2023 6:11:12 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\GSI","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","GSI","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","GSI","System.Collections.Generic.List`1[System.String]",,"GSI","C:\PROJECTS\Backup_H2\GSI","Backup_H2","True","C:\","","6/1/2023 4:10:47 PM","6/1/2023 6:10:47 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\Named","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","Named","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Named","System.Collections.Generic.List`1[System.String]",,"Named","C:\PROJECTS\Backup_H2\Named","Backup_H2","True","C:\","","6/1/2023 4:10:53 PM","6/1/2023 6:10:53 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\output","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","output","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","output","System.Collections.Generic.List`1[System.String]",,"output","C:\PROJECTS\Backup_H2\output","Backup_H2","True","C:\","","6/1/2023 4:10:53 PM","6/1/2023 6:10:53 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","6/1/2023 4:11:15 PM","6/1/2023 6:11:15 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\PCC","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","PCC","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","PCC","System.Collections.Generic.List`1[System.String]",,"PCC","C:\PROJECTS\Backup_H2\PCC","Backup_H2","True","C:\","","6/1/2023 4:10:49 PM","6/1/2023 6:10:49 AM","6/1/2023 4:11:16 PM","6/1/2023 6:11:16 AM","6/1/2023 4:11:16 PM","6/1/2023 6:11:16 AM","Directory"
"Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2\Unnamed","Microsoft.PowerShell.Core\FileSystem::C:\PROJECTS\Backup_H2","Unnamed","C","Microsoft.PowerShell.Core\FileSystem","True","d-----","Unnamed","System.Collections.Generic.List`1[System.String]",,"Unnamed","C:\PROJECTS\Backup_H2\Unnamed","Backup_H2","True","C:\","","6/1/2023 4:10:50 PM","6/1/2023 6:10:50 AM","6/1/2023 4:11:17 PM","6/1/2023 6:11:17 AM","6/1/2023 4:11:17 PM","6/1/2023 6:11:17 AM","Directory"
